Ticker
GILD
KGC
SLB
RIG
DVN
WFC
TTD
XOM
NCLH
SIRI
VALE
ABEV
AUY
VZ
FB2A.F
SQ
OXY
LUMN
EDU
TLRY
DKNG
NLY
V
TSLA
PLUG
SWN
LCID
FTI
BP
CSCO
MRNA
GRAB
SABR
CLF
MU
PTON
ET
KHC
X
LUV
DAL
KMI
DISCA
TWTR
FSLY
CMCSA
EQT
ONB
HAL
GM
FCX
LYG
PINS
PBR-A
HST
BMY
CSX
APPS
HMY
